id,key,value,type
6150306,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6150322,highway,track,regular
6150322,cfcc,A41,tiger
6150322,county,"Larimer, CO",tiger
6150322,reviewed,no,tiger
6150331,bicycle,no,regular
6150331,destination,Denver,regular
6150331,ref,I 25 South,destination
6150331,highway,motorway_link,regular
6150331,oneway,yes,regular
6150331,cfcc,A63,tiger
6150331,county,"Larimer, CO",tiger
6150331,reviewed,no,tiger
6150335,bicycle,no,regular
6150335,destination,Ault,regular
6150335,ref,CO 14 East,destination
6150335,highway,motorway_link,regular
6150335,ref,269A,junction
6150335,oneway,yes,regular
6150335,cfcc,A63,tiger
6150335,county,"Larimer, CO",tiger
6150335,reviewed,no,tiger
6150603,highway,track,regular
6150603,cfcc,A41,tiger
6150603,county,"Larimer, CO",tiger
6150603,reviewed,no,tiger
6151074,highway,service,regular
6151074,cfcc,A73,tiger
6151074,county,"Larimer, CO",tiger
6151074,reviewed,no,tiger
6151074,source,tiger_import_dch_v0.6_20070809,tiger
6151074,tlid,188592863,tiger
6151074,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6151262,bicycle,yes,regular
6151262,foot,yes,regular
6151262,highway,path,regular
6151262,horse,yes,regular
6151262,surface,dirt,regular
6151262,cfcc,A41,tiger
6151262,county,"Larimer, CO",tiger
6151262,reviewed,no,tiger
6151262,separated,no,tiger
6151262,source,tiger_import_dch_v0.6_20070809,tiger
6151262,tlid,188607206:188607207:188607208:188588428:188592963,tiger
6151262,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6151471,highway,residential,regular
6151471,cfcc,A74,tiger
6151471,county,"Larimer, CO",tiger
6151490,bicycle,no,regular
6151490,destination,Windsor;Fort Collins,regular
6151490,ref,CO 392,destination
6151490,highway,motorway_link,regular
6151490,ref,262,junction
6151490,oneway,yes,regular
6151490,cfcc,A63,tiger
6151490,county,"Larimer, CO",tiger
6151490,reviewed,no,tiger
6151806,highway,residential,regular
6151806,cfcc,A74,tiger
6151806,county,"Larimer, CO",tiger
6151813,highway,residential,regular
6151813,cfcc,A74,tiger
6151813,county,"Larimer, CO",tiger
6151923,bicycle,no,regular
6151923,destination,Denver,regular
6151923,ref,I 25 South,destination
6151923,highway,motorway_link,regular
6151923,lanes,1,regular
6151923,oneway,yes,regular
6151923,surface,paved,regular
6151923,cfcc,A63,tiger
6151923,county,"Larimer, CO",tiger
6151943,highway,service,regular
6151943,cfcc,A73,tiger
6151943,county,"Larimer, CO",tiger
6151943,reviewed,no,tiger
6151943,source,tiger_import_dch_v0.6_20070809,tiger
6151943,tlid,188586301,tiger
6151943,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6151944,highway,service,regular
6151944,cfcc,A73,tiger
6151944,county,"Larimer, CO",tiger
6151944,reviewed,no,tiger
6151944,source,tiger_import_dch_v0.6_20070809,tiger
6151944,tlid,188586309,tiger
6151944,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6152838,access,private,regular
6152838,highway,service,regular
6152838,cfcc,A74,tiger
6152838,county,"Larimer, CO",tiger
6152838,reviewed,no,tiger
6152838,source,tiger_import_dch_v0.6_20070809,tiger
6152838,tlid,188581141:188581142,tiger
6152838,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6153091,bicycle,no,regular
6153091,destination,Fort Collins,regular
6153091,ref,CO 14 West,destination
6153091,highway,motorway_link,regular
6153091,ref,269B,junction
6153091,oneway,yes,regular
6153091,cfcc,A63,tiger
6153091,county,"Larimer, CO",tiger
6153094,bicycle,no,regular
6153094,destination,Cheyenne,regular
6153094,ref,I 25 North,destination
6153094,highway,motorway_link,regular
6153094,oneway,yes,regular
6153094,cfcc,A63,tiger
6153094,county,"Larimer, CO",tiger
6153123,access,private,regular
6153123,highway,residential,regular
6153123,cfcc,A74,tiger
6153123,county,"Larimer, CO",tiger
6153123,reviewed,no,tiger
6153123,source,tiger_import_dch_v0.6_20070809,tiger
6153123,tlid,188585171:188585172:188585157:188571887,tiger
6153123,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6153325,highway,track,regular
6153325,cfcc,A51,tiger
6153325,county,"Larimer, CO",tiger
6153325,reviewed,no,tiger
6153325,separated,no,tiger
6153325,source,tiger_import_dch_v0.6_20070809,tiger
6153325,tlid,188600166:188600168:188600170:188600171:188556241,tiger
6153325,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6153993,access,private,regular
6153993,highway,track,regular
6153993,cfcc,A74,tiger
6153993,county,"Larimer, CO",tiger
6153993,reviewed,no,tiger
6154151,bicycle,no,regular
6154151,foot,yes,regular
6154151,highway,path,regular
6154151,horse,yes,regular
6154151,surface,unpaved,regular
6154151,cfcc,A41,tiger
6154151,county,"Larimer, CO",tiger
6154151,reviewed,no,tiger
6154151,separated,no,tiger
6154151,source,tiger_import_dch_v0.6_20070809,tiger
6154151,tlid,188607206:188607207:188607208:188588428:188592963,tiger
6154151,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6154163,bicycle,no,regular
6154163,foot,yes,regular
6154163,highway,path,regular
6154163,horse,yes,regular
6154163,surface,unpaved,regular
6154163,cfcc,A41,tiger
6154163,county,"Larimer, CO",tiger
6154163,reviewed,no,tiger
6154164,access,private,regular
6154164,highway,service,regular
6154164,cfcc,A41,tiger
6154164,county,"Larimer, CO",tiger
6154164,reviewed,no,tiger
6154167,access,private,regular
6154167,highway,service,regular
6154167,cfcc,A41,tiger
6154167,county,"Larimer, CO",tiger
6154167,reviewed,no,tiger
6154168,highway,service,regular
6154168,cfcc,A41,tiger
6154168,county,"Larimer, CO",tiger
6154168,reviewed,no,tiger
6154274,highway,service,regular
6154274,surface,unpaved,regular
6154274,cfcc,A51,tiger
6154274,county,"Larimer, CO",tiger
6154305,access,private,regular
6154305,highway,service,regular
6154305,cfcc,A74,tiger
6154305,county,"Larimer, CO",tiger
6154305,reviewed,no,tiger
6154305,source,tiger_import_dch_v0.6_20070809,tiger
6154305,tlid,188546115,tiger
6154305,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6154910,highway,service,regular
6154910,cfcc,A73,tiger
6154910,county,"Larimer, CO",tiger
6154910,reviewed,no,tiger
6154910,source,tiger_import_dch_v0.6_20070809,tiger
6154910,tlid,188588189:188588190,tiger
6154910,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6154991,highway,service,regular
6154991,cfcc,A41,tiger
6154991,county,"Larimer, CO",tiger
6154991,reviewed,no,tiger
6155220,highway,track,regular
6155220,cfcc,A41,tiger
6155220,county,"Larimer, CO",tiger
6155220,reviewed,no,tiger
6155220,separated,no,tiger
6155220,source,tiger_import_dch_v0.6_20070809,tiger
6155220,tlid,188597867:188596349:188599135:188588451:188588452:188592976,tiger
6155220,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6155388,access,private,regular
6155388,highway,service,regular
6155388,cfcc,A74,tiger
6155388,county,"Larimer, CO",tiger
6155388,reviewed,no,tiger
6156370,highway,residential,regular
6156370,cfcc,A41,tiger
6156370,county,"Larimer, CO",tiger
6156370,reviewed,no,tiger
6156520,highway,service,regular
6156520,service,alley,regular
6156520,cfcc,A41,tiger
6156520,county,"Larimer, CO",tiger
6156520,reviewed,no,tiger
6156697,bicycle,no,regular
6156697,street,Prospect Road,destination
6156697,highway,motorway_link,regular
6156697,ref,268,junction
6156697,oneway,yes,regular
6156697,cfcc,A63,tiger
6156697,county,"Larimer, CO",tiger
6156697,reviewed,no,tiger
6157630,access,private,regular
6157630,highway,track,regular
6157630,cfcc,A41,tiger
6157630,county,"Larimer, CO",tiger
6157630,reviewed,no,tiger
6157915,highway,service,regular
6157915,cfcc,A41,tiger
6157915,county,"Larimer, CO",tiger
6157915,reviewed,no,tiger
6157976,highway,unclassified,regular
6157976,note,frontage,regular
6157976,cfcc,A64,tiger
6157976,county,"Larimer, CO",tiger
6157976,reviewed,no,tiger
6157976,source,tiger_import_dch_v0.6_20070809,tiger
6157976,tlid,188584826:188584833,tiger
6157976,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6158339,access,private,regular
6158339,highway,service,regular
6158339,cfcc,A74,tiger
6158339,county,"Larimer, CO",tiger
6158339,reviewed,no,tiger
6158339,source,tiger_import_dch_v0.6_20070809,tiger
6158339,tlid,188527320,tiger
6158339,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6158352,access,private,regular
6158352,highway,service,regular
6158352,service,driveway,regular
6158352,cfcc,A74,tiger
6158352,county,"Larimer, CO",tiger
6158352,reviewed,no,tiger
6158725,highway,service,regular
6158725,cfcc,A73,tiger
6158725,county,"Larimer, CO",tiger
6158725,reviewed,no,tiger
6158725,source,tiger_import_dch_v0.6_20070809,tiger
6158725,tlid,188609876:188556092,tiger
6158725,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6158832,highway,service,regular
6158832,cfcc,A41,tiger
6158832,county,"Larimer, CO",tiger
6158832,reviewed,no,tiger
6158889,foot,yes,regular
6158889,highway,path,regular
6158889,cfcc,A41,tiger
6158889,county,"Larimer, CO",tiger
6158889,reviewed,no,tiger
6158919,highway,service,regular
6158919,cfcc,A41,tiger
6158919,county,"Larimer, CO",tiger
6158919,reviewed,no,tiger
6158938,highway,tertiary,regular
6158938,surface,paved,regular
6158938,cfcc,A41,tiger
6158938,county,"Larimer, CO",tiger
6158938,reviewed,no,tiger
6158962,bicycle,no,regular
6158962,foot,yes,regular
6158962,highway,path,regular
6158962,horse,yes,regular
6158962,surface,unpaved,regular
6158962,cfcc,A41,tiger
6158962,county,"Larimer, CO",tiger
6158962,reviewed,no,tiger
6158962,separated,no,tiger
6158962,source,tiger_import_dch_v0.6_20070809,tiger
6158962,tlid,188607206:188607207:188607208:188588428:188592963,tiger
6158962,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6159468,highway,residential,regular
6159468,cfcc,A41,tiger
6159468,county,"Larimer, CO",tiger
6159468,reviewed,no,tiger
6159563,highway,residential,regular
6159563,cfcc,A41,tiger
6159563,county,"Larimer, CO",tiger
6159563,reviewed,no,tiger
6159563,separated,no,tiger
6159563,source,tiger_import_dch_v0.6_20070809,tiger
6159563,tlid,188513586,tiger
6159563,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6159690,highway,service,regular
6159690,cfcc,A73,tiger
6159690,county,"Larimer, CO",tiger
6159690,reviewed,no,tiger
6159690,source,tiger_import_dch_v0.6_20070809,tiger
6159690,tlid,188586287,tiger
6159690,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6159691,highway,service,regular
6159691,cfcc,A73,tiger
6159691,county,"Larimer, CO",tiger
6159691,reviewed,no,tiger
6159691,source,tiger_import_dch_v0.6_20070809,tiger
6159691,tlid,188586288:188586289,tiger
6159691,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6159742,access,private,regular
6159742,highway,service,regular
6159742,cfcc,A74,tiger
6159742,county,"Larimer, CO",tiger
6159742,reviewed,no,tiger
6159755,bicycle,no,regular
6159755,destination,Windsor;Fort Collins,regular
6159755,ref,CO 392,destination
6159755,highway,motorway_link,regular
6159755,ref,262,junction
6159755,oneway,yes,regular
6159755,cfcc,A63,tiger
6159755,county,"Larimer, CO",tiger
6159755,reviewed,no,tiger
6160723,bicycle,no,regular
6160723,destination,Denver,regular
6160723,ref,I 25 South,destination
6160723,highway,motorway_link,regular
6160723,oneway,yes,regular
6160723,cfcc,A63,tiger
6160723,county,"Larimer, CO",tiger
6160846,highway,service,regular
6160846,cfcc,A41,tiger
6160846,county,"Larimer, CO",tiger
6160846,reviewed,no,tiger
6160846,separated,no,tiger
6160846,source,tiger_import_dch_v0.6_20070809,tiger
6160846,tlid,188592948:188588398,tiger
6160846,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6160976,highway,track,regular
6160976,cfcc,A41,tiger
6160976,county,"Larimer, CO",tiger
6160976,reviewed,no,tiger
6160976,separated,no,tiger
6160976,source,tiger_import_dch_v0.6_20070809,tiger
6160976,tlid,188607484:188607485,tiger
6160976,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6160979,highway,track,regular
6160979,cfcc,A41,tiger
6160979,county,"Larimer, CO",tiger
6160979,reviewed,no,tiger
6160981,highway,service,regular
6160981,service,alley,regular
6160981,cfcc,A73,tiger
6160981,county,"Larimer, CO",tiger
6160981,reviewed,no,tiger
6160982,highway,track,regular
6160982,cfcc,A41,tiger
6160982,county,"Larimer, CO",tiger
6160982,reviewed,no,tiger
6161135,access,private,regular
6161135,highway,service,regular
6161135,cfcc,A74,tiger
6161135,county,"Larimer, CO",tiger
6161135,reviewed,no,tiger
6161135,source,tiger_import_dch_v0.6_20070809,tiger
6161135,tlid,188511819,tiger
6161135,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6161695,highway,residential,regular
6161695,name,Biden's Gate Dr,regular
6161695,oneway,yes,regular
6161695,cfcc,A41,tiger
6161695,county,"Larimer, CO",tiger
6161695,reviewed,no,tiger
6161764,highway,track,regular
6161764,cfcc,A41,tiger
6161764,county,"Larimer, CO",tiger
6161764,reviewed,no,tiger
6161771,highway,service,regular
6161771,cfcc,A73,tiger
6161771,county,"Larimer, CO",tiger
6161771,reviewed,no,tiger
6161771,source,tiger_import_dch_v0.6_20070809,tiger
6161771,tlid,188585078,tiger
6161771,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6161917,highway,service,regular
6161917,cfcc,A41,tiger
6161917,county,"Larimer, CO",tiger
6161917,reviewed,no,tiger
6161917,separated,no,tiger
6161917,source,tiger_import_dch_v0.6_20070809,tiger
6161917,tlid,188587602:188587603,tiger
6161917,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6161919,highway,residential,regular
6161919,cfcc,A41,tiger
6161919,county,"Larimer, CO",tiger
6161919,reviewed,no,tiger
6161927,highway,track,regular
6161927,cfcc,A41,tiger
6161927,county,"Larimer, CO",tiger
6161927,reviewed,no,tiger
6161933,highway,residential,regular
6161933,cfcc,A41,tiger
6161933,county,"Larimer, CO",tiger
6161933,reviewed,no,tiger
6161933,separated,no,tiger
6161933,source,tiger_import_dch_v0.6_20070809,tiger
6161933,tlid,188513592,tiger
6161933,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6162043,highway,service,regular
6162043,cfcc,A73,tiger
6162043,county,"Larimer, CO",tiger
6162043,reviewed,no,tiger
6162043,source,tiger_import_dch_v0.6_20070809,tiger
6162043,tlid,188586291,tiger
6162043,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6162044,highway,service,regular
6162044,cfcc,A73,tiger
6162044,county,"Larimer, CO",tiger
6162044,reviewed,no,tiger
6162044,source,tiger_import_dch_v0.6_20070809,tiger
6162044,tlid,188586299,tiger
6162044,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6162227,access,private,regular
6162227,highway,service,regular
6162227,cfcc,A74,tiger
6162227,county,"Larimer, CO",tiger
6162227,reviewed,no,tiger
6162227,source,tiger_import_dch_v0.6_20070809,tiger
6162227,tlid,188608492,tiger
6162227,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6162324,highway,residential,regular
6162324,cfcc,A41,tiger
6162324,county,"Larimer, CO",tiger
6162324,reviewed,no,tiger
6162324,separated,no,tiger
6162324,source,tiger_import_dch_v0.6_20070809,tiger
6162324,tlid,188588434,tiger
6162324,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6162360,highway,road,regular
6162360,cfcc,A41,tiger
6162360,county,"Larimer, CO",tiger
6162360,reviewed,no,tiger
6162635,highway,track,regular
6162635,cfcc,A41,tiger
6162635,county,"Larimer, CO",tiger
6162635,reviewed,no,tiger
6162635,separated,no,tiger
6162635,source,tiger_import_dch_v0.6_20070809,tiger
6162635,tlid,188587917:188587918,tiger
6162635,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6162819,highway,service,regular
6162819,cfcc,A41,tiger
6162819,county,"Larimer, CO",tiger
6162819,reviewed,no,tiger
6163040,highway,track,regular
6163040,cfcc,A41,tiger
6163040,county,"Larimer, CO",tiger
6163040,reviewed,no,tiger
6163097,access,private,regular
6163097,highway,service,regular
6163097,cfcc,A74,tiger
6163097,county,"Larimer, CO",tiger
6163097,reviewed,no,tiger
6163203,access,private,regular
6163203,highway,track,regular
6163203,cfcc,A41,tiger
6163203,county,"Larimer, CO",tiger
6163203,reviewed,no,tiger
6163271,access,private,regular
6163271,highway,service,regular
6163271,cfcc,A74,tiger
6163271,county,"Larimer, CO",tiger
6163271,reviewed,no,tiger
6163289,highway,track,regular
6163289,cfcc,A41,tiger
6163289,county,"Larimer, CO",tiger
6163289,reviewed,no,tiger
6163294,access,private,regular
6163294,highway,service,regular
6163294,cfcc,A41,tiger
6163294,county,"Larimer, CO",tiger
6163294,reviewed,no,tiger
6163296,highway,residential,regular
6163296,cfcc,A41,tiger
6163296,county,"Larimer, CO",tiger
6163296,reviewed,no,tiger
6163296,separated,no,tiger
6163296,source,tiger_import_dch_v0.6_20070809,tiger
6163296,tlid,188610792,tiger
6163296,upload_uuid,bulk_upload.pl-0554da2f-59d0-472e-a0eb-76347c27d95c,tiger
6163299,highway,service,regular
6163299,surface,unpaved,regular
6163299,cfcc,A41,tiger
6163299,county,"Larimer, CO",tiger
6163305,highway,track,regular
6163305,cfcc,A41,tiger
6163305,county,"Larimer, CO",tiger
6163305,reviewed,no,tiger
6163326,highway,service,regular
